Predicted_Label	Actual_Label	Predicted_Class	Actual_Class
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	1	Dropout	Graduate
0	0	Dropout	Dropout
0	1	Dropout	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	1	Dropout	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	1	Dropout	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	1	Dropout	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	1	Dropout	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	0	Graduate	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	1	Dropout	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	0	Graduate	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	1	Dropout	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	0	Graduate	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
0	1	Dropout	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	1	Dropout	Graduate
0	0	Dropout	Dropout
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	0	Graduate	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	0	Graduate	Dropout
0	0	Dropout	Dropout
0	0	Dropout	Dropout
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
1	1	Graduate	Graduate
0	0	Dropout	Dropout
